timestamp_ms,mobile_node_id,active_peer_id,continuity_score,connection_status
0,5,0,0.849986,connected
360,5,0,0.850869,connected
720,5,0,0.855226,connected
1080,5,0,0.863146,connected
1440,5,0,0.873235,connected
1800,5,0,0.883648,connected
2160,5,0,0.893899,connected
2400,5,9,0.880956,connected
2520,5,9,0.881032,connected
2880,5,9,0.881200,connected
3240,5,9,0.881436,connected
3600,5,9,0.881743,connected
3960,5,9,0.881826,connected
4320,5,9,0.881855,connected
4680,5,9,0.881959,connected
0,5,0,0.849986,connected
360,5,0,0.850869,connected
720,5,0,0.855226,connected
1080,5,0,0.863146,connected
1440,5,0,0.873235,connected
1800,5,0,0.883648,connected
2160,5,0,0.893899,connected
2400,5,9,0.880956,connected
2520,5,9,0.881032,connected
2880,5,9,0.881200,connected
3240,5,9,0.881436,connected
3600,5,9,0.881743,connected
3960,5,9,0.881826,connected
4320,5,9,0.881855,connected
4680,5,9,0.881959,connected
0,5,0,0.849986,connected
360,5,0,0.850869,connected
720,5,0,0.855226,connected
1080,5,0,0.863146,connected
1440,5,0,0.873235,connected
1800,5,0,0.883648,connected
2160,5,0,0.893899,connected
2400,5,9,0.880956,connected
2520,5,9,0.881032,connected
2880,5,9,0.881200,connected
3240,5,9,0.881436,connected
3600,5,9,0.881743,connected
3960,5,9,0.881826,connected
4320,5,9,0.881855,connected
4680,5,9,0.881959,connected
0,5,0,0.849986,connected
360,5,0,0.850869,connected
720,5,0,0.855226,connected
1080,5,0,0.863146,connected
1440,5,0,0.873235,connected
1800,5,0,0.883648,connected
2160,5,0,0.893899,connected
2400,5,9,0.880956,connected
2520,5,9,0.881032,connected
2880,5,9,0.881200,connected
3240,5,9,0.881436,connected
3600,5,9,0.881743,connected
3960,5,9,0.881826,connected
4320,5,9,0.881855,connected
4680,5,9,0.881959,connected
0,25,0,0.249972,connected
360,25,0,0.255554,connected
720,25,0,0.264610,connected
1080,25,0,0.275992,connected
1440,25,0,0.290051,connected
1800,25,0,0.304517,connected
2160,25,0,0.319004,connected
2400,25,49,0.267429,connected
2520,25,49,0.266030,connected
2880,25,49,0.262001,connected
3240,25,49,0.258010,connected
3600,25,49,0.253844,connected
3960,25,49,0.249782,connected
4320,25,49,0.245904,connected
4680,25,49,0.241936,connected
0,25,0,0.249972,connected
360,25,0,0.255554,connected
720,25,0,0.264610,connected
1080,25,0,0.275992,connected
1440,25,0,0.290051,connected
1800,25,0,0.304517,connected
2160,25,0,0.319004,connected
2400,25,49,0.267429,connected
2520,25,49,0.266030,connected
2880,25,49,0.262001,connected
3240,25,49,0.258010,connected
3600,25,49,0.253844,connected
3960,25,49,0.249782,connected
4320,25,49,0.245904,connected
4680,25,49,0.241936,connected
0,25,0,0.249972,connected
360,25,0,0.255554,connected
720,25,0,0.264610,connected
1080,25,0,0.275992,connected
1440,25,0,0.290051,connected
1800,25,0,0.304517,connected
2160,25,0,0.319004,connected
2400,25,49,0.267429,connected
2520,25,49,0.266030,connected
2880,25,49,0.262001,connected
3240,25,49,0.258010,connected
3600,25,49,0.253844,connected
3960,25,49,0.249782,connected
4320,25,49,0.245904,connected
4680,25,49,0.241936,connected
0,25,0,0.249972,connected
360,25,0,0.255554,connected
720,25,0,0.264610,connected
1080,25,0,0.275992,connected
1440,25,0,0.290051,connected
1800,25,0,0.304517,connected
2160,25,0,0.319004,connected
2400,25,49,0.267429,connected
2520,25,49,0.266030,connected
2880,25,49,0.262001,connected
3240,25,49,0.258010,connected
3600,25,49,0.253844,connected
3960,25,49,0.249782,connected
4320,25,49,0.245904,connected
4680,25,49,0.241936,connected
0,50,0,-0.500055,connected
360,50,0,-0.489572,connected
720,50,0,-0.475841,connected
1080,50,0,-0.459216,connected
1440,50,0,-0.439957,connected
1800,50,0,-0.420104,connected
2160,50,0,-0.400446,connected
2400,50,99,-0.455550,connected
2520,50,99,-0.455878,connected
2880,50,99,-0.456535,connected
3240,50,99,-0.457455,connected
3600,50,99,-0.458166,connected
3960,50,99,-0.458959,connected
4320,50,99,-0.456533,connected
4680,50,99,-0.446000,connected
0,50,0,-0.500055,connected
360,50,0,-0.489572,connected
720,50,0,-0.475841,connected
1080,50,0,-0.459216,connected
1440,50,0,-0.439957,connected
1800,50,0,-0.420104,connected
2160,50,0,-0.400446,connected
2400,50,99,-0.455550,connected
2520,50,99,-0.455878,connected
2880,50,99,-0.456535,connected
3240,50,99,-0.457455,connected
3600,50,99,-0.458166,connected
3960,50,99,-0.458959,connected
4320,50,99,-0.456533,connected
4680,50,99,-0.446000,connected
0,50,0,-0.500055,connected
360,50,0,-0.489572,connected
720,50,0,-0.475841,connected
1080,50,0,-0.459216,connected
1440,50,0,-0.439957,connected
1800,50,0,-0.420104,connected
2160,50,0,-0.400446,connected
2400,50,99,-0.455550,connected
2520,50,99,-0.455878,connected
2880,50,99,-0.456535,connected
3240,50,99,-0.457455,connected
3600,50,99,-0.458166,connected
3960,50,99,-0.458959,connected
4320,50,99,-0.456533,connected
4680,50,99,-0.446000,connected
0,50,0,-0.500055,connected
360,50,0,-0.489572,connected
720,50,0,-0.475841,connected
1080,50,0,-0.459216,connected
1440,50,0,-0.439957,connected
1800,50,0,-0.420104,connected
2160,50,0,-0.400446,connected
2400,50,99,-0.455550,connected
2520,50,99,-0.455878,connected
2880,50,99,-0.456535,connected
3240,50,99,-0.457455,connected
3600,50,99,-0.458166,connected
3960,50,99,-0.458959,connected
4320,50,99,-0.456533,connected
4680,50,99,-0.446000,connected
