timestamp_ms,packet_id,is_replay_attack,delta_phi_score,action_taken
960,242,true,0.57602346,reject_phase_salt_mismatch
1440,482,true,0.57602346,reject_phase_salt_mismatch
1920,722,true,0.57602346,reject_phase_salt_mismatch
2400,962,true,0.57602346,reject_phase_salt_mismatch
2880,1202,true,0.57602966,reject_phase_salt_mismatch
3360,1442,true,0.57601868,reject_phase_salt_mismatch
3840,1682,true,0.57601868,reject_phase_salt_mismatch
4320,1922,true,0.57601868,reject_phase_salt_mismatch
960,242,true,0.57602346,reject_phase_salt_mismatch
1440,482,true,0.57602346,reject_phase_salt_mismatch
1920,722,true,0.57602346,reject_phase_salt_mismatch
2400,962,true,0.57602346,reject_phase_salt_mismatch
2880,1202,true,0.57602966,reject_phase_salt_mismatch
3360,1442,true,0.57601868,reject_phase_salt_mismatch
3840,1682,true,0.57601868,reject_phase_salt_mismatch
4320,1922,true,0.57601868,reject_phase_salt_mismatch
960,242,true,0.57602346,reject_phase_salt_mismatch
1440,482,true,0.57602346,reject_phase_salt_mismatch
1920,722,true,0.57602346,reject_phase_salt_mismatch
2400,962,true,0.57602346,reject_phase_salt_mismatch
2880,1202,true,0.57602966,reject_phase_salt_mismatch
3360,1442,true,0.57601868,reject_phase_salt_mismatch
3840,1682,true,0.57601868,reject_phase_salt_mismatch
4320,1922,true,0.57601868,reject_phase_salt_mismatch
960,242,true,0.57602346,reject_phase_salt_mismatch
1440,482,true,0.57602346,reject_phase_salt_mismatch
1920,722,true,0.57602346,reject_phase_salt_mismatch
2400,962,true,0.57602346,reject_phase_salt_mismatch
2880,1202,true,0.57602966,reject_phase_salt_mismatch
3360,1442,true,0.57601868,reject_phase_salt_mismatch
3840,1682,true,0.57601868,reject_phase_salt_mismatch
4320,1922,true,0.57601868,reject_phase_salt_mismatch
960,242,true,0.57602346,reject_phase_salt_mismatch
1440,482,true,0.57602346,reject_phase_salt_mismatch
1920,722,true,0.57602346,reject_phase_salt_mismatch
2400,962,true,0.57602346,reject_phase_salt_mismatch
2880,1202,true,0.57602966,reject_phase_salt_mismatch
3360,1442,true,0.57601868,reject_phase_salt_mismatch
3840,1682,true,0.57601868,reject_phase_salt_mismatch
4320,1922,true,0.57601868,reject_phase_salt_mismatch
960,242,true,0.57602346,reject_phase_salt_mismatch
1440,482,true,0.57602346,reject_phase_salt_mismatch
1920,722,true,0.57602346,reject_phase_salt_mismatch
2400,962,true,0.57602346,reject_phase_salt_mismatch
2880,1202,true,0.57602966,reject_phase_salt_mismatch
3360,1442,true,0.57601868,reject_phase_salt_mismatch
3840,1682,true,0.57601868,reject_phase_salt_mismatch
4320,1922,true,0.57601868,reject_phase_salt_mismatch
960,242,true,0.57602346,reject_phase_salt_mismatch
1440,482,true,0.57602346,reject_phase_salt_mismatch
1920,722,true,0.57602346,reject_phase_salt_mismatch
2400,962,true,0.57602346,reject_phase_salt_mismatch
2880,1202,true,0.57602966,reject_phase_salt_mismatch
3360,1442,true,0.57601868,reject_phase_salt_mismatch
3840,1682,true,0.57601868,reject_phase_salt_mismatch
4320,1922,true,0.57601868,reject_phase_salt_mismatch
960,242,true,0.57602346,reject_phase_salt_mismatch
1440,482,true,0.57602346,reject_phase_salt_mismatch
1920,722,true,0.57602346,reject_phase_salt_mismatch
2400,962,true,0.57602346,reject_phase_salt_mismatch
2880,1202,true,0.57602966,reject_phase_salt_mismatch
3360,1442,true,0.57601868,reject_phase_salt_mismatch
3840,1682,true,0.57601868,reject_phase_salt_mismatch
4320,1922,true,0.57601868,reject_phase_salt_mismatch
960,242,true,0.57602346,reject_phase_salt_mismatch
1440,482,true,0.57602346,reject_phase_salt_mismatch
1920,722,true,0.57602346,reject_phase_salt_mismatch
2400,962,true,0.57602346,reject_phase_salt_mismatch
2880,1202,true,0.57602966,reject_phase_salt_mismatch
3360,1442,true,0.57601868,reject_phase_salt_mismatch
3840,1682,true,0.57601868,reject_phase_salt_mismatch
4320,1922,true,0.57601868,reject_phase_salt_mismatch
960,242,true,0.57602346,reject_phase_salt_mismatch
1440,482,true,0.57602346,reject_phase_salt_mismatch
1920,722,true,0.57602346,reject_phase_salt_mismatch
2400,962,true,0.57602346,reject_phase_salt_mismatch
2880,1202,true,0.57602966,reject_phase_salt_mismatch
3360,1442,true,0.57601868,reject_phase_salt_mismatch
3840,1682,true,0.57601868,reject_phase_salt_mismatch
4320,1922,true,0.57601868,reject_phase_salt_mismatch
960,242,true,0.57602346,reject_phase_salt_mismatch
1440,482,true,0.57602346,reject_phase_salt_mismatch
1920,722,true,0.57602346,reject_phase_salt_mismatch
2400,962,true,0.57602346,reject_phase_salt_mismatch
2880,1202,true,0.57602966,reject_phase_salt_mismatch
3360,1442,true,0.57601868,reject_phase_salt_mismatch
3840,1682,true,0.57601868,reject_phase_salt_mismatch
4320,1922,true,0.57601868,reject_phase_salt_mismatch
960,242,true,0.57602346,reject_phase_salt_mismatch
1440,482,true,0.57602346,reject_phase_salt_mismatch
1920,722,true,0.57602346,reject_phase_salt_mismatch
2400,962,true,0.57602346,reject_phase_salt_mismatch
2880,1202,true,0.57602966,reject_phase_salt_mismatch
3360,1442,true,0.57601868,reject_phase_salt_mismatch
3840,1682,true,0.57601868,reject_phase_salt_mismatch
4320,1922,true,0.57601868,reject_phase_salt_mismatch
